Crop,District,Area (Acres),Production (M.Ton),Year,Temperature at 2 Meters Range (C),Precipitation Corrected (mm),Root Zone Soil Wetness (surface to 100 cm below),Surface Soil Wetness (surface to 5 cm below),relative_humidity_2m(%),soil_temperature_0_to_7cm(C),soil_moiture_7_to_28cm(m³/m³),soil_moisture_0_to_7cm(m³/m³),total_rain_mm
Radish,Bandarban,637,1959,2018,30.01,12.99,0.75,0.75,77.45531,23.56438,0.304684,0.30361,2383.8
Radish,Bandarban,639,1975,2019,29.5,15.39,0.73,0.73,75.92758,24.21347,0.287431,0.279632,1827.5
Radish,Bandarban,658,2025,2020,28.94,11.39,0.77,0.77,76.6218,23.90011,0.303409,0.294267,2043.6
Radish,Bandarban,665,2046.03,2021,30.08,9.55,0.71,0.71,76.21778,24.21268,0.306284,0.292478,2743.6
Radish,Bandarban,668,2054.3,2022,29.28,7,0.7,0.71,75.99511,24.20901,0.297327,0.292952,1514
Radish,Bandarban,675.5,2074.1,2023,29.68,8.02,0.69,0.7,75.10578,24.40345,0.315443,0.305601,2417.7
Radish,Bandarban,683,2093.98,2024,24.58,12.38,0.72,0.72,76.9333,24.31012,0.329995,0.316143,2131.3
Radish,Brahmanbaria,1014,8823,2014,32.2,5.11,0.62,0.62,77.0602,26.5018,0.279154,0.276998,1390.5
Radish,Brahmanbaria,1002,5695,2015,27.68,6.57,0.69,0.69,79.0919,26.111,0.303316,0.303633,2484.4
Radish,Brahmanbaria,1104,5769,2016,27.88,7.63,0.74,0.73,79.92362,26.4526,0.318716,0.314619,2277.3
Radish,Brahmanbaria,1099,5661,2017,25.43,13.13,0.83,0.83,80.83692,26.11905,0.336393,0.331281,3150.6
Radish,Brahmanbaria,1082,5485,2018,28.47,7.49,0.76,0.76,79.05452,25.86475,0.305156,0.306928,1898.4
Radish,Brahmanbaria,1093,5555,2019,29.64,8.33,0.73,0.73,79.02871,26.06594,0.309745,0.304781,1673.1
Radish,Brahmanbaria,1099,5588,2020,29.29,7.39,0.75,0.75,80.04127,25.73491,0.310551,0.304128,1995.3
Radish,Brahmanbaria,1067.3,6745.98,2021,31.29,6.14,0.7,0.7,77.93095,26.25094,0.297885,0.294738,1773.8
Radish,Brahmanbaria,1042.15,6299.03,2022,30.15,6.49,0.71,0.72,78.24826,26.16909,0.30718,0.30847,2007
Radish,Brahmanbaria,1010.55,6143.59,2023,31.31,6.59,0.69,0.69,77.36163,26.48324,0.30738,0.30136,1989.4
Radish,Brahmanbaria,1025.4,6479.89,2024,25.41,8.75,0.75,0.74,78.32047,26.37073,0.307044,0.303981,2167.3
Radish,Chandpur,1161,5917,2014,33.73,4.61,0.62,0.6,74.7404,26.53743,0.275142,0.262199,1409
Radish,Chandpur,1203,5929,2015,28.42,6.14,0.66,0.64,77.88509,26.35128,0.296262,0.291192,2210.5
Radish,Chandpur,1152,5660,2016,30.42,7.91,0.72,0.71,77.37621,26.89067,0.296377,0.290446,1490.1
Radish,Chandpur,1124,5569,2017,26.93,13.38,0.83,0.82,80.0768,26.36991,0.312902,0.301016,2406.1
Radish,Chandpur,1124,5984,2018,28.39,7.63,0.76,0.75,77.72992,25.91705,0.300788,0.280814,1555.9
Radish,Chandpur,999,4823,2019,30.98,8.18,0.73,0.71,79.33491,25.97735,0.31089,0.294269,1518
Radish,Chandpur,999,4823,2020,28.58,7.96,0.79,0.79,79.57623,25.8863,0.300051,0.286747,1999.1
Radish,Chandpur,970.07,5377.1,2021,31.7,6.32,0.72,0.71,78.3517,26.10671,0.302535,0.284086,1835.2
Radish,Chandpur,933.41,4374.49,2022,30.76,5.84,0.71,0.72,79.42098,25.95165,0.297849,0.286772,1660.8
Radish,Chandpur,909.26,4355.45,2023,29.6,6.94,0.72,0.71,76.33583,26.65489,0.276591,0.261726,1738.2
Radish,Chandpur,910.79,4363.2,2024,29.56,8.34,0.75,0.75,76.4986,26.57571,0.290366,0.285753,1770.3
Radish,Chattogram,3190,12678,2014,28.76,7.72,0.69,0.68,79.71137,26.84862,0.27994,0.270566,1783.1
Radish,Chattogram,3175,12642,2015,24.55,9.42,0.7,0.69,81.1776,26.4393,0.299875,0.297441,3234.2
Radish,Chattogram,3188,11134,2016,24.64,13.19,0.76,0.75,82.70374,26.65056,0.311763,0.306922,2766.2
Radish,Chattogram,3206,12487,2017,24.06,20.09,0.85,0.84,83.30714,26.18319,0.316454,0.312984,2941.9
Radish,Chattogram,3209,12494,2018,26.01,13.84,0.8,0.8,82.18758,25.87144,0.289284,0.290815,2461.5
Radish,Chattogram,3239,12801,2019,25.43,14.25,0.77,0.76,81.32631,26.24627,0.281668,0.280716,2049.5
Radish,Chattogram,2902,14157,2020,24.94,11.52,0.83,0.82,82.18119,25.99998,0.297931,0.294971,2103.7
Radish,Chattogram,2892.56,14057.34,2021,27.94,9.35,0.75,0.74,79.81858,26.6823,0.274273,0.27571,2385
Radish,Chattogram,2989.63,14442.4,2022,27.1,7.53,0.75,0.75,80.00236,26.23665,0.288267,0.285411,1686.4
Radish,Chattogram,2958.8,14297.92,2023,27.66,8.73,0.74,0.73,79.89684,26.6113,0.29276,0.287985,1973.3
Radish,Chattogram,3228.68,43646.41,2024,25.58,11.74,0.76,0.76,79.07124,26.67863,0.277504,0.263671,2404.5
Radish,Comilla,2033,9089,2014,33.22,5.28,0.65,0.66,76.99035,26.83693,0.27247,0.271141,1346
Radish,Comilla,1949,9247,2015,27.94,6.72,0.69,0.7,78.98991,26.3533,0.303103,0.301579,2239.4
Radish,Comilla,1942,9490,2016,29.47,8.25,0.73,0.74,80.60566,26.62772,0.313621,0.309194,2097.2
Radish,Comilla,1799,8578,2017,26.16,14.43,0.84,0.85,80.89439,26.0797,0.329784,0.326112,3033.7
Radish,Comilla,1873,8641,2018,29.62,7.83,0.77,0.79,79.39526,25.73019,0.307598,0.307329,1757.1
Radish,Comilla,1359,6675,2019,29.77,9.09,0.74,0.74,78.95788,26.15881,0.296477,0.292136,1583.2
Radish,Comilla,1361,6486,2020,29.01,7.95,0.78,0.8,79.95403,25.74632,0.313419,0.30948,2047
Radish,Comilla,1365.17,6789.09,2021,32.21,6.59,0.72,0.73,77.73573,26.32991,0.296004,0.292179,1952
Radish,Comilla,1366.2,6779.2,2022,30.27,6.1,0.73,0.75,76.66259,26.58233,0.263134,0.271766,1577.5
Radish,Comilla,1370,6810,2023,31.47,6.67,0.7,0.71,76.14108,26.79526,0.278164,0.280819,1591.3
Radish,Comilla,1384.9,6862.7,2024,25.34,9.48,0.76,0.77,78.99686,26.28485,0.296012,0.29984,2255.4
Radish,Cox's Bazar,811,4294,2014,16.56,12.18,0.71,0.71,79.61066,26.76397,0.273842,0.239984,1973.6
Radish,Cox's Bazar,778,4191,2015,13.17,17.46,0.73,0.73,80.06567,26.50522,0.277186,0.256892,2982.8
Radish,Cox's Bazar,838,4470,2016,13.97,21.83,0.78,0.78,81.89871,26.77161,0.296368,0.267697,2580.3
Radish,Cox's Bazar,861,4597,2017,14.29,26.71,0.84,0.84,84.21019,26.38216,0.306352,0.275286,3411.1
Radish,Cox's Bazar,850,4603,2018,15.2,22.29,0.8,0.8,83.27377,25.8845,0.294025,0.267308,2485.6
Radish,Cox's Bazar,849,4601,2019,14.07,26,0.8,0.81,82.88187,26.27429,0.291974,0.249813,2459.8
Radish,Cox's Bazar,833,4192,2020,15.75,20.43,0.82,0.82,83.8287,26.06871,0.294457,0.267779,2790.9
Radish,Cox's Bazar,822.38,4363.13,2021,16.29,15.52,0.75,0.75,82.6091,26.43788,0.291167,0.257862,2941.3
Radish,Cox's Bazar,850.96,3989.53,2022,14.74,12.54,0.76,0.77,82.06303,25.98739,0.29889,0.261757,1633.4
Radish,Cox's Bazar,851.69,3967.19,2023,14.64,14.78,0.77,0.77,81.58126,26.21503,0.301472,0.279088,2295.4
Radish,Cox's Bazar,836.48,4276.88,2024,25.54,18.85,0.78,0.79,79.74715,26.03338,0.283949,0.277491,3140.3
Radish,Feni,615,2198,2014,33.38,6.42,0.69,0.68,77.39947,26.91449,0.326299,0.322903,1507.1
Radish,Feni,459,1860,2015,27.6,7.95,0.71,0.69,79.33884,26.39356,0.348848,0.345348,2520.9
Radish,Feni,551,1827,2016,28.2,10.89,0.76,0.75,81.54038,26.60548,0.359535,0.355981,2413.8
Radish,Feni,547,1289,2017,26.4,18.19,0.87,0.86,82.01371,26.08472,0.425435,0.41968,3161.5
Radish,Feni,496,1667,2018,28.25,10.93,0.82,0.81,80.68234,25.81173,0.400761,0.400477,2059.4
Radish,Feni,438,1376,2019,28.28,11.91,0.76,0.76,79.87547,26.15463,0.398378,0.390592,1720.9
Radish,Feni,432,1315,2020,26.63,10.13,0.84,0.83,79.88032,25.98254,0.402878,0.395739,2088.2
Radish,Feni,432.14,1316.43,2021,31.27,7.99,0.76,0.74,77.37097,26.70761,0.384826,0.381263,2037.1
Radish,Feni,440.55,1340.27,2022,28.18,7,0.77,0.76,76.57862,26.73096,0.371321,0.37413,1737.5
Radish,Feni,454.27,1935.5,2023,30.56,7.97,0.75,0.74,76.70201,26.87203,0.381022,0.37586,1727.4
Radish,Feni,452.5,2008,2024,25.36,10.99,0.79,0.78,79.06619,26.35946,0.387513,0.3857,2277.6
Radish,Khagrachari,1157,3785,2014,32.29,6.51,0.7,0.71,79.13297,25.62647,0.290946,0.287924,1589.5
Radish,Khagrachari,1209,4020,2015,28.6,7.97,0.71,0.72,81.29,25.28746,0.312315,0.311605,2758.8
Radish,Khagrachari,1234,4036,2016,29.46,10.68,0.76,0.77,83.16566,25.57636,0.329539,0.329458,2294.2
Radish,Khagrachari,1269,4165,2017,29.53,18.24,0.85,0.86,83.58102,25.04354,0.35355,0.348648,2954.1
Radish,Khagrachari,1272,4166,2018,32.12,11,0.8,0.82,82.19283,24.58409,0.328891,0.328578,2322.2
Radish,Khagrachari,1310,4449,2019,30.43,12.02,0.75,0.77,80.25134,25.12328,0.308776,0.307612,2018.6
Radish,Khagrachari,1338,4626,2020,30.02,10.13,0.82,0.83,81.05655,24.76285,0.322205,0.317578,2035.4
Radish,Khagrachari,1570,4813.76,2021,32.28,7.99,0.74,0.75,79.69796,25.22061,0.319793,0.316992,2157.4
Radish,Khagrachari,1395,4944.26,2022,30.8,7.01,0.76,0.77,78.39501,25.30925,0.303918,0.302883,1674
Radish,Khagrachari,1388.8,4941.37,2023,32.51,7.96,0.74,0.75,78.1305,25.44188,0.321535,0.316838,1825.1
Radish,Khagrachari,1404.8,5023.42,2024,25.28,11.03,0.78,0.79,78.77097,25.49229,0.300867,0.299998,2247.4
Radish,Lakshmipur,815,2363,2014,32.85,5.12,0.67,0.64,78.16954,26.80946,0.257871,0.246181,1365.9
Radish,Lakshmipur,813,2125,2015,27.03,6.98,0.69,0.66,80.22253,26.28651,0.290739,0.281771,2162.7
Radish,Lakshmipur,800,2074,2016,29.77,10.08,0.76,0.73,82.32218,26.53865,0.304621,0.290815,2154.9
Radish,Lakshmipur,788,2089,2017,25.88,15.37,0.85,0.83,81.82531,26.11148,0.321924,0.317001,2971.2
Radish,Lakshmipur,774,2023,2018,27.35,8.96,0.79,0.77,80.58334,25.70549,0.300696,0.301933,1947.1
Radish,Lakshmipur,731,1871,2019,28.26,9.99,0.76,0.74,80.31153,26.10278,0.294194,0.290412,1712.9
Radish,Lakshmipur,723,1781,2020,26.8,9.28,0.85,0.82,80.78117,25.78658,0.298616,0.299247,2236.2
Radish,Lakshmipur,751,1883,2021,30.65,6.97,0.75,0.72,78.69273,26.425,0.285422,0.282885,2220.3
Radish,Lakshmipur,752.9,2045,2022,29.16,6.38,0.77,0.74,77.68788,26.38997,0.274434,0.279326,1698.3
Radish,Lakshmipur,722,2024.26,2023,29.02,7.53,0.75,0.73,77.95853,26.60249,0.281745,0.284269,1657.7
Radish,Lakshmipur,686.1,2044.38,2024,25.41,9.39,0.78,0.76,79.5868,26.17023,0.296491,0.305149,2409.2
Radish,Noakhali,1548,5498,2014,33.38,6.42,0.69,0.68,77.89309,27.31515,0.245639,0.217453,1543.9
Radish,Noakhali,1522,5543,2015,27.6,7.95,0.71,0.69,79.94849,26.6777,0.272098,0.247946,2149.5
Radish,Noakhali,1551,5664,2016,28.2,10.89,0.76,0.75,82.21404,26.88732,0.285144,0.260022,2387.5
Radish,Noakhali,1275,3540,2017,26.4,18.19,0.87,0.86,81.35957,26.14914,0.319425,0.294697,3378.1
Radish,Noakhali,1203,3317,2018,28.25,10.93,0.82,0.81,79.95386,25.89903,0.293773,0.272205,2276.8
Radish,Noakhali,1128,2922,2019,28.28,11.91,0.76,0.76,79.10151,26.37833,0.280392,0.256954,1831.8
Radish,Noakhali,1079,2627,2020,26.63,10.13,0.84,0.83,80.1632,25.96538,0.296998,0.273862,2399.7
Radish,Noakhali,1198.32,4276.58,2021,31.27,7.99,0.76,0.74,77.5318,26.80188,0.272261,0.252141,2297.6
Radish,Noakhali,1211.06,4625.93,2022,28.18,7,0.77,0.76,76.62837,26.60912,0.267234,0.246151,1943.2
Radish,Noakhali,1240.1,4771.61,2023,30.56,7.97,0.75,0.74,76.59639,26.95884,0.271733,0.24367,1787.2
Radish,Noakhali,1242.85,4790.43,2024,30,10.99,0.79,0.78,77.7535,26.72673,0.272514,0.249126,2498.3
Radish,Rangamati,1003,4054,2014,29.06,6.09,0.65,0.65,78.42105,25.79644,0.320757,0.310013,1257.7
Radish,Rangamati,1003,4118,2015,25.16,8.88,0.68,0.68,80.44115,25.49937,0.332148,0.32549,2479.4
Radish,Rangamati,1007,4145,2016,29.35,9.2,0.72,0.73,81.90435,25.80859,0.343311,0.338104,1886.6
Radish,Rangamati,993,4095,2017,24.13,16.33,0.79,0.8,80.62814,25.48715,0.367634,0.362827,2708.4
Radish,Rangamati,975,3978,2018,28.81,12.01,0.75,0.76,79.60342,24.99171,0.354836,0.351494,2353.5
Radish,Rangamati,973,3795,2019,28.34,13.54,0.72,0.73,78.84639,25.30644,0.359277,0.355694,1834.9
Radish,Rangamati,975,3903,2020,27.98,9.85,0.77,0.77,79.2475,25.05571,0.35491,0.350647,1930.2
Radish,Rangamati,986.8,3948.86,2021,29.72,8.08,0.7,0.71,77.9938,25.57534,0.32525,0.324045,2277.2
Radish,Rangamati,998.25,4000.32,2022,28.71,6.8,0.7,0.71,77.72524,25.35755,0.358507,0.355025,1684.5
Radish,Rangamati,995.12,3984.61,2023,29.13,7.49,0.68,0.69,78.57892,25.58147,0.355763,0.350847,1893.6
Radish,Rangamati,998.71,3993.6,2024,27.43,10.65,0.72,0.72,80.41451,25.50198,0.348155,0.33509,2223.4
Radish,Dhaka,1278,5480,2014,33.73,4.61,0.62,0.6,77.13461,26.95468,0.271954,0.268574,1284.2
Radish,Dhaka,1052,4801,2015,28.42,6.14,0.66,0.64,79.19579,26.57154,0.300778,0.300216,2258.9
Radish,Dhaka,1224,5176,2016,30.42,7.91,0.72,0.71,79.84581,27.0082,0.308022,0.306217,1863.4
Radish,Dhaka,1225,5232,2017,26.93,13.38,0.83,0.82,80.80763,26.34869,0.343849,0.336463,2716.5
Radish,Dhaka,901,8175,2018,28.39,7.63,0.76,0.75,78.87431,26.06536,0.313415,0.310815,1607.4
Radish,Dhaka,325,4173,2019,30.98,8.18,0.73,0.71,79.42227,26.2823,0.311154,0.309579,1582.4
Radish,Dhaka,977,9152,2020,28.58,7.96,0.79,0.79,79.49921,26.07041,0.315091,0.312356,1949.3
Radish,Dhaka,1059.94,8266.46,2021,31.7,6.32,0.72,0.71,77.25425,26.64925,0.303184,0.297663,1786.7
Radish,Dhaka,1056.6,7252,2022,30.76,5.84,0.71,0.72,78.73846,26.34185,0.307307,0.306202,1649.1
Radish,Dhaka,858.4,7476.12,2023,29.6,6.94,0.72,0.71,76.87009,26.87267,0.291756,0.292725,1774.9
Radish,Dhaka,843.21,7394.89,2024,29.76,8.34,0.75,0.75,76.83747,26.82269,0.292582,0.280218,1866.1
Radish,Faridpur,763,3110,2014,35.24,3.94,0.62,0.59,76.06918,26.77626,0.265086,0.25887,1312.1
Radish,Faridpur,762,3105,2015,31.22,5.31,0.66,0.63,78.5588,26.44988,0.293949,0.292277,2133.1
Radish,Faridpur,569,2619,2016,32.86,7.05,0.71,0.69,78.89458,26.90809,0.299364,0.297292,1785.7
Radish,Faridpur,560,2550,2017,30.56,11.16,0.81,0.78,79.9007,26.44336,0.32029,0.315845,2474.3
Radish,Faridpur,569,2619,2018,30.45,6.56,0.75,0.73,77.9637,26.14595,0.299635,0.294786,1531.1
Radish,Faridpur,569,2619,2019,34.01,7.43,0.73,0.71,79.16616,26.18419,0.307993,0.302182,1615.9
Radish,Faridpur,586,2695,2020,30.56,7.6,0.81,0.79,79.49822,26.02436,0.307045,0.299356,1966.6
Radish,Faridpur,598,2753,2021,33.65,6.05,0.73,0.71,77.58245,26.53538,0.298007,0.289935,2202.6
Radish,Faridpur,556,2888.06,2022,33.42,5.4,0.72,0.71,78.57882,26.22941,0.300852,0.294744,1664.9
Radish,Faridpur,569.45,2941.32,2023,31.38,6.45,0.72,0.7,77.69761,26.60519,0.29098,0.285711,1851.5
Radish,Faridpur,581.5,3009.4,2024,32.67,7.25,0.75,0.73,77.54992,26.62506,0.284935,0.282135,1748.5
Radish,Gazipur,669,3088,2014,33.77,5.36,0.63,0.62,76.63105,26.28902,0.376612,0.365009,1440.5
Radish,Gazipur,665,3088,2015,28.4,6.36,0.68,0.67,79.12474,25.94206,0.396052,0.391553,2234.4
Radish,Gazipur,697,3225,2016,31.05,8.29,0.74,0.73,79.0548,26.44852,0.399077,0.391449,1876.2
Radish,Gazipur,688,3142,2017,27.92,14.35,0.83,0.81,81.14629,25.71322,0.433993,0.427529,3195.7
Radish,Gazipur,379,3087,2018,28.46,8.78,0.77,0.77,79.07323,25.39571,0.41337,0.408421,1679.8
Radish,Gazipur,659,2992,2019,31.24,10.15,0.75,0.74,79.45654,25.65844,0.415152,0.408401,1603.9
Radish,Gazipur,664,3006,2020,30.08,9.86,0.79,0.78,80.0339,25.36518,0.406958,0.40417,2167.3
Radish,Gazipur,898.72,3892.41,2021,32.83,7.48,0.73,0.73,77.61991,25.82882,0.402581,0.393606,1693.4
Radish,Gazipur,995.33,4275.66,2022,31.33,7.95,0.74,0.73,78.71365,25.74714,0.40922,0.405077,2141.7
Radish,Gazipur,1018.14,4495.33,2023,31.09,8.14,0.72,0.72,76.22692,26.32917,0.39362,0.386912,1784.2
Radish,Gazipur,1008.94,4463,2024,31,9.39,0.78,0.76,77.89529,25.96589,0.410303,0.40959,1921.3
Radish,Gopalganj,460,1915,2014,35.94,4.06,0.66,0.61,76.49646,27.08828,0.266008,0.262836,1304.5
Radish,Gopalganj,443,2044,2015,31.81,5.86,0.68,0.64,78.71974,26.72543,0.28872,0.291796,2047.9
Radish,Gopalganj,426,1955,2016,33.43,8.61,0.75,0.71,79.31275,27.22494,0.297175,0.297585,1874.4
Radish,Gopalganj,391,1862,2017,30.57,12.07,0.82,0.79,79.98982,26.49266,0.325683,0.321521,2581.1
Radish,Gopalganj,382,1900,2018,31.51,6.94,0.76,0.74,78.12585,26.14963,0.308096,0.302888,1700.6
Radish,Gopalganj,373,2076,2019,33.75,8.54,0.76,0.72,79.11637,26.27718,0.313305,0.306898,1549.5
Radish,Gopalganj,377,2122,2020,32.27,8.22,0.84,0.81,80.2757,25.87745,0.315726,0.310378,2172.5
Radish,Gopalganj,386.92,2274.79,2021,34.99,6.29,0.75,0.71,77.97558,26.50646,0.298546,0.291647,2011.2
Radish,Gopalganj,396.22,2223.83,2022,34.23,5.61,0.75,0.73,77.40763,26.58472,0.28282,0.283554,1785.7
Radish,Gopalganj,412.26,2327.41,2023,31.94,6.63,0.74,0.71,77.52143,26.74038,0.290965,0.288893,1893.4
Radish,Gopalganj,418.01,2361.14,2024,32.78,7.79,0.76,0.74,78.31952,26.59652,0.299475,0.301223,1961.2
Radish,Kishoreganj,1251,8286,2014,33.77,5.36,0.63,0.62,77.42407,26.33869,0.281967,0.278128,1778.6
Radish,Kishoreganj,1261,8594,2015,28.4,6.36,0.68,0.67,80.04643,25.86734,0.307952,0.309708,2807.4
Radish,Kishoreganj,1203,9440,2016,31.05,8.29,0.74,0.73,80.16968,26.31654,0.318457,0.315725,2527.8
Radish,Kishoreganj,1189,9405,2017,27.92,14.35,0.83,0.81,81.52007,25.81171,0.335854,0.332466,3503.2
Radish,Kishoreganj,1105,7070,2018,28.46,8.78,0.77,0.77,79.46073,25.55666,0.311076,0.309837,1860.2
Radish,Kishoreganj,1176,8492,2019,31.24,10.15,0.75,0.74,79.82592,25.74118,0.31781,0.3147,1838.1
Radish,Kishoreganj,1152,8633,2020,30.08,9.86,0.79,0.78,80.93855,25.355,0.315638,0.311693,2255.1
Radish,Kishoreganj,1204.48,6820.18,2021,32.83,7.48,0.73,0.73,78.42933,25.90741,0.297277,0.292971,1781.2
Radish,Kishoreganj,1194.25,7061.74,2022,31.33,7.95,0.74,0.73,79.04851,25.69242,0.314617,0.311691,2263.9
Radish,Kishoreganj,1201.23,7281.92,2023,31.09,8.14,0.72,0.72,77.79179,26.06173,0.307084,0.300416,2291.7
Radish,Kishoreganj,1145.13,6601.87,2024,30.98,9.95,0.76,0.75,78.58886,25.93063,0.309971,0.30525,2098.9
Radish,Madaripur,488,2115,2014,35.94,4.06,0.66,0.61,76.76629,26.90089,0.266013,0.26129,1255.6
Radish,Madaripur,417,2203,2015,31.81,5.86,0.68,0.64,78.92744,26.48605,0.294484,0.29298,2068.7
Radish,Madaripur,460,2379,2016,33.43,8.61,0.75,0.71,79.85825,26.92013,0.302616,0.297904,1862.7
Radish,Madaripur,454,2150,2017,30.57,12.07,0.82,0.79,80.69746,26.25037,0.324958,0.317101,2503.2
Radish,Madaripur,432,2293,2018,31.51,6.94,0.76,0.74,79.36549,25.84964,0.306699,0.299004,1646.2
Radish,Madaripur,367,2243,2019,33.75,8.54,0.76,0.72,79.75929,26.12253,0.303805,0.294923,1495.1
Radish,Madaripur,432,2313,2020,32.27,8.22,0.84,0.81,80.81552,25.73518,0.310719,0.302836,2063.9
Radish,Madaripur,410.4,3027,2021,34.99,6.29,0.75,0.71,78.33607,26.43853,0.293436,0.283246,1965.7
Radish,Madaripur,420.25,2109.85,2022,34.23,5.61,0.75,0.73,77.54981,26.48017,0.27606,0.274201,1592.5
Radish,Madaripur,416.49,1913.78,2023,31.94,6.63,0.74,0.71,77.48228,26.77319,0.281484,0.279796,1938.2
Radish,Madaripur,424.08,1922.32,2024,32.25,7.79,0.76,0.74,79.25155,26.35595,0.306983,0.307126,2088.6
Radish,Manikganj,1107,4023,2014,35.21,4.15,0.63,0.6,77.95299,26.55393,0.282427,0.277325,1260.9
Radish,Manikganj,1028,3760,2015,31.21,5.09,0.66,0.63,79.89569,26.21739,0.308882,0.306662,2355.8
Radish,Manikganj,967,3548,2016,32.68,6.19,0.71,0.69,80.54194,26.58352,0.318994,0.315043,1890.2
Radish,Manikganj,930,2912,2017,30.32,11.01,0.81,0.79,82.11224,26.31595,0.34573,0.337721,3132.2
Radish,Manikganj,913,3566,2018,29.65,6.66,0.77,0.75,80.64903,25.95729,0.32591,0.322605,1761.1
Radish,Manikganj,915,3571,2019,34.17,7.68,0.74,0.72,81.0674,26.09362,0.331305,0.321644,1543.7
Radish,Manikganj,939,3792,2020,30.26,7.63,0.81,0.79,81.39465,25.89927,0.3266,0.319848,2023.8
Radish,Manikganj,978.15,5612,2021,32.8,6.2,0.75,0.73,79.9435,26.21689,0.323819,0.314059,1691.5
Radish,Manikganj,992.8,6109,2022,33.28,5.6,0.73,0.72,79.98566,26.23143,0.32574,0.319557,1723.5
Radish,Manikganj,1008.32,6484.6,2023,31.92,6.56,0.72,0.71,79.07085,26.50978,0.321531,0.313672,1927.7
Radish,Manikganj,964.2,6915.52,2024,30.6,7.49,0.76,0.74,79.97549,26.33475,0.333867,0.330553,2147.5
Radish,Munshiganj,432,2322,2014,33.73,4.61,0.62,0.6,77.85873,26.68153,0.269154,0.262903,1225.1
Radish,Munshiganj,430,2322,2015,28.42,6.14,0.66,0.64,79.83653,26.32274,0.298213,0.294828,2015.3
Radish,Munshiganj,412,2085,2016,30.42,7.91,0.72,0.71,80.61337,26.7457,0.304976,0.300909,1822.9
Radish,Munshiganj,474,2244,2017,26.93,13.38,0.83,0.82,80.608,26.50405,0.338054,0.307029,2757.6
Radish,Munshiganj,473,2288,2018,28.39,7.63,0.76,0.75,78.78845,26.29137,0.305013,0.26954,1699.4
Radish,Munshiganj,450,2323,2019,30.98,8.18,0.73,0.71,79.57893,26.37273,0.313149,0.276293,1506.6
Radish,Munshiganj,456,2346,2020,28.58,7.96,0.79,0.79,79.72283,26.14808,0.316479,0.28225,2031.6
Radish,Munshiganj,468.4,2453.53,2021,31.7,6.32,0.72,0.71,77.17244,26.97996,0.301274,0.264306,1809
Radish,Munshiganj,457.8,2943.92,2022,30.76,5.84,0.71,0.72,78.31377,26.5289,0.301062,0.268563,1679.5
Radish,Munshiganj,416.9,2382.87,2023,29.6,6.94,0.72,0.71,77.73003,26.91054,0.294596,0.256612,1839.8
Radish,Munshiganj,419.1,2361.84,2024,28.98,8.34,0.75,0.75,77.5292,26.88167,0.289303,0.256876,1957.3
Radish,Narayanganj,510,1476,2014,33.73,4.61,0.62,0.6,78.105,26.80878,0.279578,0.275848,1249.2
Radish,Narayanganj,515,1490,2015,28.42,6.14,0.66,0.64,79.94585,26.47248,0.307889,0.306554,2200.9
Radish,Narayanganj,395,1279,2016,30.42,7.91,0.72,0.71,80.84261,26.86195,0.314695,0.312209,1927.4
Radish,Narayanganj,404,1308,2017,26.93,13.38,0.83,0.82,80.91587,26.27517,0.342765,0.333755,2688.2
Radish,Narayanganj,425,1525,2018,28.39,7.63,0.76,0.75,79.41563,25.99396,0.309174,0.305515,1669
Radish,Narayanganj,404,1435,2019,30.98,8.18,0.73,0.71,80.09223,26.13184,0.311219,0.307016,1624.7
Radish,Narayanganj,383,1412,2020,28.58,7.96,0.79,0.79,79.67081,26.00878,0.308441,0.305647,2046.3
Radish,Narayanganj,387.69,1378.9,2021,31.7,6.32,0.72,0.71,77.75756,26.58319,0.303426,0.297201,1827.1
Radish,Narayanganj,351.22,1207.4,2022,30.76,5.84,0.71,0.72,78.43134,26.37378,0.297947,0.296873,1686.7
Radish,Narayanganj,339.65,1128.5,2023,29.6,6.94,0.72,0.71,78.06817,26.6015,0.290794,0.288571,2016.6
Radish,Narayanganj,336.91,1113.15,2024,29.43,8.34,0.75,0.75,78.28368,26.50815,0.278461,0.276598,2217.4
Radish,Narsingdi,895,3200,2014,34.55,4.65,0.61,0.6,77.6406,26.65095,0.279102,0.274096,1403.7
Radish,Narsingdi,877,3201,2015,28.44,5.85,0.66,0.65,79.66238,26.29974,0.306434,0.304522,2567.5
Radish,Narsingdi,782,3011,2016,31.36,6.93,0.71,0.71,80.26242,26.70358,0.313761,0.311191,2045
Radish,Narsingdi,797,3096,2017,28.09,12.61,0.82,0.81,80.78915,26.08082,0.336588,0.330015,3220.6
Radish,Narsingdi,793,2280,2018,28.91,7.38,0.75,0.75,78.89921,25.83042,0.3069,0.307136,1783.2
Radish,Narsingdi,697,2754,2019,32.13,8.19,0.73,0.72,79.47905,25.98168,0.313502,0.307917,1558.1
Radish,Narsingdi,789,3083,2020,30.23,7.81,0.77,0.77,80.09693,25.65578,0.315395,0.310734,2007.3
Radish,Narsingdi,804.8,3276.77,2021,32.64,6.35,0.72,0.71,78.15628,26.09662,0.304755,0.298203,1757.3
Radish,Narsingdi,795.7,3253.75,2022,31.99,6.18,0.71,0.71,78.43948,26.13562,0.306122,0.306367,1750.7
Radish,Narsingdi,788.21,3245.95,2023,30.51,6.95,0.71,0.7,76.90818,26.56281,0.293707,0.28989,2010.7
